country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Portugal,Liga Portugal,Avs Futebol,93,Simão,Goalkeeper,"Jul 2, 1993 (32)",€300k,1993,300.0,61,26,28,56
Portugal,Liga Portugal,Avs Futebol,88,Trigueira,Goalkeeper,"Jan 4, 1988 (37)",€50k,1988,50.0,52,22,24,47
Portugal,Liga Portugal,Avs Futebol,6,Baptiste Roux,Centre-Back,"Nov 26, 1999 (25)",€800k,1999,800.0,65,30,34,53
Portugal,Liga Portugal,Avs Futebol,42,Cristian Devenish,Centre-Back,"Jan 25, 2001 (24)",€800k,2001,800.0,65,30,34,53
Portugal,Liga Portugal,Avs Futebol,-,Guillem Molina,Centre-Back,"May 3, 2000 (25)",€300k,2000,300.0,60,28,31,49
Portugal,Liga Portugal,Avs Futebol,33,Aderllan Santos,Centre-Back,"Apr 9, 1989 (36)",€100k,1989,100.0,55,25,29,45
Portugal,Liga Portugal,Avs Futebol,-,Daniel Rivas,Left-Back,"Dec 6, 2001 (23)",€600k,2001,600.0,64,31,35,49
Portugal,Liga Portugal,Avs Futebol,24,Kiki,Left-Back,"Dec 10, 1994 (30)",€500k,1994,500.0,63,31,35,48
Portugal,Liga Portugal,Avs Futebol,12,Gustavo Assunção,Defensive Midfield,"Mar 30, 2000 (25)",€1.00m,2000,1000.0,67,35,35,43
Portugal,Liga Portugal,Avs Futebol,-,Ángel Algobia,Defensive Midfield,"Jun 23, 1999 (26)",€800k,1999,800.0,65,34,34,42
Portugal,Liga Portugal,Avs Futebol,19,Tiago Galletto,Defensive Midfield,"May 11, 2002 (23)",€400k,2002,400.0,61,32,32,39
Portugal,Liga Portugal,Avs Futebol,15,Jaume Grau,Central Midfield,"May 5, 1997 (28)",€700k,1997,700.0,65,38,42,38
Portugal,Liga Portugal,Avs Futebol,23,Gustavo Mendonça,Central Midfield,"Mar 11, 2003 (22)",€400k,2003,400.0,61,35,39,35
Portugal,Liga Portugal,Avs Futebol,-,Pedro Lima,Central Midfield,"Mar 27, 2003 (22)",€250k,2003,250.0,59,34,38,34
Portugal,Liga Portugal,Avs Futebol,14,Lucas Piazón,Attacking Midfield,"Jan 20, 1994 (31)",€800k,1994,800.0,66,44,40,34
Portugal,Liga Portugal,Avs Futebol,8,Rafael Barbosa,Attacking Midfield,"Mar 29, 1996 (29)",€350k,1996,350.0,61,41,37,32
Portugal,Liga Portugal,Avs Futebol,17,John Mercado,Left Winger,"Jun 3, 2002 (23)",€2.50m,2002,2500.0,71,54,41,33
Portugal,Liga Portugal,Avs Futebol,11,Tunde Akinsola,Left Winger,"Mar 10, 2003 (22)",€500k,2003,500.0,62,47,36,29
Portugal,Liga Portugal,Avs Futebol,21,Edson Mucuana,Left Winger,"Dec 12, 2003 (21)",€50k,2003,50.0,50,38,29,23
Portugal,Liga Portugal,Avs Futebol,21,Guilherme Neiva,Left Winger,"Mar 15, 2001 (24)",-,2001,99.0,54,41,31,25
Portugal,Liga Portugal,Avs Futebol,-,Kobamelo Kodisang,Right Winger,"Aug 28, 1999 (25)",€1.20m,1999,1200.0,68,52,39,31
Portugal,Liga Portugal,Avs Futebol,-,Balla Sangaré,Centre-Forward,"Feb 9, 2000 (25)",€250k,2000,250.0,59,48,32,25
Portugal,Liga Portugal,Avs Futebol,9,Diego Duarte,Centre-Forward,"Apr 8, 2002 (23)",€200k,2002,200.0,58,48,32,25
Portugal,Liga Portugal,Avs Futebol,19,Talles Wander,Centre-Forward,"Oct 24, 2003 (21)",€200k,2003,200.0,57,47,31,25
Portugal,Liga Portugal,Avs Futebol,18,Nenê,Centre-Forward,"Jul 28, 1983 (41)",€50k,1983,50.0,52,43,29,22
